Weight on bit (kg);Rotation speed (rpm);Depth of operation (m);Mud density (kg/L);Rate of Penetration (m/s);Linear4;Mud Flow in (m3/s);Nonlinear2;Nonlinear3;Temperature (C);Hole diameter (m);Failure likelihood (%);Inverse Rate of Penetration (s/m)
306.1418205322366;9849.9529384241;927.9688371463055;2.902466584381742;0.001;-0.38563291206307254;50.29960586889932;0.7937209747233721;0.15350251517842506;34.51657016852651;6.373931966171325;25.09247671276485;-0.33977382527714345
324.03940473251026;10744.516916350774;1106.1877542385062;2.106769548356274;0.007869638949306677;0.19990839145654227;72.14006067313066;0.15526863819294234;0.7672340616979815;41.86116193241699;7.507639501248501;56.071090450065306;0.583142883327518
345.3770549618952;5393.241061226116;898.1680850387426;3.9094546277873174;0.004817128192315114;0.6470577131570392;10.908229981655907;0.5987218069512066;0.10115653591363649;58.560954527545064;6.180673316215462;29.84463955488522;-2.8175462563895524
356.70949668967677;6776.865695718969;769.165223171643;2.47360730634615;0.005550674252778475;-0.4194559299767191;51.029350284997925;0.5881576851324171;0.4643934223192081;72.92504173907236;5.368264799013081;41.938060587778175;7.019296550390833
328.4372753433342;6024.116387274201;215.20260461803048;3.0336810521577156;0.003676430914750062;0.006489989270982771;44.159394189554284;0.27820987517022777;0.19069172897305864;43.99296610237594;2.092907923652784;24.455330057836363;-0.8862325067821847
327.5558047426497;9314.963240013658;556.0253643569747;4.0;0.0067878710737037;-1.0794285225412195;29.37388871589722;0.8204662867992937;0.29256213033779255;37.2116041105068;4.11397966929127;37.73383708981696;1.0190049096895197
284.696132365748;10248.922377280931;1482.0418517209014;2.478146603839704;0.006385309880205657;0.7749250896225026;100.0;0.3851021498752131;0.22165192367477438;64.91173318075074;9.824150773809137;45.56174451945779;1.4116484237359075
287.9387629739678;8095.6120409386185;832.3963765484027;0.5440057111318222;0.006876750383665825;0.07833700172974783;23.15717273138396;0.5265872603508778;0.7561891560097965;53.4078483288069;5.886679382700722;51.04935308354381;0.9600481428049763
374.08107356996027;6035.842778911135;1475.5511878400007;2.965767546884111;0.005141301401624374;0.17106240359765523;40.07123732496488;0.9339660779899394;0.5347396476853457;18.286194031555276;9.914206646145452;44.74335635482738;-7.4012612520891965
285.18444811200806;7562.1704286759805;1086.5952975592054;1.6124516828281827;0.0048364113611374555;1.0774551292528192;24.46255080297496;0.617237372782256;0.10958473189501783;58.896684264868696;7.323070441515122;41.86004287716031;-2.925313189668272
378.2659214835772;9910.428297374465;915.4887110864968;2.7511533831982797;0.005019587498836301;-0.42180052129254064;29.911872993613635;0.7673117266601523;0.7377246112591623;54.10319876316798;6.308688557001496;49.38644095755683;-4.594731071284476
283.13836166355117;7165.462956414082;671.1185292677425;2.4696852549150985;0.006443182018026034;1.1238838601353192;45.416917146377244;0.6303994190469918;0.20243442860029948;43.90371929247126;4.850864818575757;41.308192264213815;1.3375563326579372
322.22403642556776;11054.221318828813;976.5753908370698;1.8300642504198925;0.004246875078352325;-2.2812566821138596;0.25967047851738556;0.9511432257408146;0.15053307353426126;55.791894928589734;6.630940521119721;40.37440124478605;-1.3484710257945838
286.66205950979;8665.897738643935;528.9312629576204;2.2771920036599265;0.003452113174912347;0.38607254365216365;76.7821478422371;0.3817584670672741;0.9919057401255691;54.87141674907185;3.9672567324950254;31.268236497375312;-0.7809623883366926
346.69664234427097;7784.791125602137;682.8394863484135;1.2518696397758664;0.00863919411115079;0.09400686243510568;9.116343722189463;0.057034559158414155;0.9979044697306183;26.83691790082341;4.924513043913304;51.97897550097473;0.44709825292617034
371.61020993531486;6151.925491221866;553.3108986187495;2.291121738371605;0.005002912056499041;-0.3410273778142665;17.027960287326145;0.8822012172248065;0.8018106056249963;75.02723235563259;4.065354261874372;33.90035688172179;-4.367814932095388
270.6670938389284;6496.6932846554255;517.285934564635;2.2366951861794018;0.006662088154913396;-1.9814015668493583;99.85127880014207;0.48569436775479746;0.5703156826200111;53.07243141879824;3.7801456177992163;44.414339104884874;1.1159941505010267
374.5170960472241;6811.817860075869;454.3014519342907;2.0462862772768644;0.004754270447050419;0.9996393499783175;18.332661458002228;0.842420148132327;0.6023964444385623;38.84989351133261;3.4123961469585207;35.181113052629435;-2.515472420648314
358.54648530732504;11121.010526570375;513.1795622173597;0.5;0.0059585939399607645;1.3186046778896352;80.9693231533088;0.4182821302731986;0.08118030670610554;44.88599395139204;3.8543494101236915;54.38572960088227;2.386318068238221
375.951092228519;5929.153780864451;727.3079222107397;3.9729505871058164;0.008118832933700856;0.1950852945118939;57.58790681296382;0.4832691983456282;0.44316505043726306;44.45350689994295;5.07652525022407;41.53177656284377;0.5308384388196206
381.18208000144773;6139.703668588609;959.5131062512927;2.028573636789943;0.007270032207942835;-0.8737614681467463;22.385340875004726;0.2207793089176967;0.858821870462274;37.91555969503294;6.7646677418988626;46.24977820008762;0.7643621436370135
279.0658410110109;7604.686116127876;128.45080471385677;1.8916853357329146;0.006869547457394556;-0.35768416956024585;9.077671980522368;0.48154909649691513;0.8207161909214997;45.057572520195144;1.3085629575616173;37.25584374973904;0.9645708640118961
336.25713194882786;8101.7394022154795;289.1776159612863;2.4561417939372427;0.007281969909752596;0.9261257921456143;53.06204202071822;0.45659903077334363;0.08300621784297224;40.65911203582613;2.3444661898122408;40.78051894038841;0.7596620767386979
224.60286042138785;4976.808260336344;699.4670946404744;2.484056681050628;0.006655400961228327;-1.0275090721909044;13.281611735939812;0.7154752739402074;0.22384285041540786;20.043905033122797;4.96675632969973;51.9912393671122;1.1216700492649614
300.7824305927785;8162.146703073942;1273.7691110201645;1.3797674499959889;0.004626450708085297;-0.36918939560836134;20.65417096718009;0.17494808712137144;0.5491912413179121;56.200172554462725;8.605530970996009;44.83367313169233;-2.0652272782638006
353.0268561412369;6194.75458894135;375.1831987062637;1.8006271238580904;0.003464346332006123;-1.375647205480295;75.52936126697773;0.8120308744192247;0.12937332957775494;66.40413379237296;2.821698329013582;31.150522527616243;-0.786054347855674
