Weight on bit (kg);Rotation speed (rpm);Depth of operation (m);Mud density (kg/L);Rate of Penetration (ft/h);Linear4;Mud Flow in (m3/s);Nonlinear2;Nonlinear3;Temperature (C);Hole diameter (m);Incident;Inverse Rate of Penetration (h/ft)
306.1418205322366;9849.9529384241;927.9688371463055;2.902466584381742;10.0;-0.38563291206307254;50.29960586889932;0.7937209747233721;0.15350251517842506;34.51657016852651;6.373931966171325;0.0;0.1
324.03940473251026;10744.516916350774;1106.1877542385062;2.106769548356274;32.89879649768892;0.19990839145654227;72.14006067313066;0.15526863819294234;0.7672340616979815;41.86116193241699;7.507639501248501;1.0;0.030396248691658013
345.3770549618952;5393.241061226116;898.1680850387426;3.9094546277873174;22.72376064105038;0.6470577131570392;10.908229981655907;0.5987218069512066;0.10115653591363649;58.560954527545064;6.180673316215462;0.0;0.04400680044981217
356.70949668967677;6776.865695718969;769.165223171643;2.47360730634615;25.168914175928247;-0.4194559299767191;51.029350284997925;0.5881576851324171;0.4643934223192081;72.92504173907236;5.368264799013081;1.0;0.0397315511114265
328.4372753433342;6024.116387274201;215.20260461803048;3.0336810521577156;18.921436382500204;0.006489989270982771;44.159394189554284;0.27820987517022777;0.19069172897305864;43.99296610237594;2.092907923652784;0.0;0.05285011030795031
327.5558047426497;9314.963240013658;556.0253643569747;4.0;29.292903579012332;-1.0794285225412195;29.37388871589722;0.8204662867992937;0.29256213033779255;37.2116041105068;4.11397966929127;0.0;0.034137961001465086
284.696132365748;10248.922377280931;1482.0418517209014;2.478146603839704;27.951032934018855;0.7749250896225026;100.0;0.3851021498752131;0.22165192367477438;64.91173318075074;9.824150773809137;1.0;0.03577685312598635
287.9387629739678;8095.6120409386185;832.3963765484027;0.5440057111318222;29.58916794555275;0.07833700172974783;23.15717273138396;0.5265872603508778;0.7561891560097965;53.4078483288069;5.886679382700722;1.0;0.03379615141054684
374.08107356996027;6035.842778911135;1475.5511878400007;2.965767546884111;23.80433800541458;0.17106240359765523;40.07123732496488;0.9339660779899394;0.5347396476853457;18.286194031555276;9.914206646145452;1.0;0.04200914975129903
285.18444811200806;7562.1704286759805;1086.5952975592054;1.6124516828281827;22.788037870458183;1.0774551292528192;24.46255080297496;0.617237372782256;0.10958473189501783;58.896684264868696;7.323070441515122;1.0;0.04388267237770277
