coef_1,coef_2,correlation,combined_effect,redundancy,synergy,y_mean,main effects
0.0,0.0,0.0,1.0,0.005774899261217594,0.6920704042167314,0.483,"(0.0, 0.0)"
0.0,0.0,0.0,1.0,0.011954152350177641,0.7198032200235159,0.4965,"(0.0, 0.0)"
0.0,0.0,0.0,1.0,0.0077771919783761,0.7025778373328969,0.502,"(0.0, 0.0)"
0.0,0.0,0.0,1.0,0.0022438480887508197,0.7053246840907224,0.491,"(0.0, 0.0)"
0.0,0.0,0.0,1.0,0.0003631598328072783,0.7223790098371949,0.5175,"(0.0, 0.0)"
0.0,0.0,0.0,1.0,0.007949938247617213,0.6848879107651268,0.505,"(0.0, 0.0)"
0.0,0.0,0.0,1.0,0.004118340197822719,0.7238331816718554,0.5095,"(0.0, 0.0)"
0.0,0.0,0.0,1.0,0.003033760766062897,0.7140417937069752,0.5085,"(0.0, 0.0)"
0.0,0.0,0.0,1.0,0.01131838795517382,0.7211395088870549,0.499,"(0.0, 0.0)"
0.0,0.0,0.0,1.0,0.004893331590681971,0.7221045574963474,0.4995,"(0.0, 0.0)"
0.0,0.0,0.0,1.0,0.006030683001785081,0.7053250960891948,0.4885,"(0.0, 0.0)"
0.0,0.0,0.0,1.0,0.0015287992809376466,0.7360286052978774,0.48700000000000004,"(0.0, 0.0)"
0.0,0.0,0.0,1.0,0.00638496224983075,0.6876223618995733,0.4975,"(0.0, 0.0)"
0.0,0.0,0.0,1.0,0.009154762190790122,0.7282560101548461,0.537,"(0.0, 0.0)"
0.0,0.0,0.0,1.0,0.008556563714503914,0.7047321812365829,0.495,"(0.0, 0.0)"
0.0,0.0,0.0,1.0,0.016635313502711316,0.7146353484196118,0.4895,"(0.0, 0.0)"
0.0,0.0,0.0,1.0,0.006323190979644736,0.7071988813052061,0.4835,"(0.0, 0.0)"
0.0,0.0,0.0,1.0,0.005704728987642597,0.6973893558147188,0.4785,"(0.0, 0.0)"
0.0,0.0,0.0,1.0,0.0003357105570485026,0.7360851658467606,0.4915,"(0.0, 0.0)"
0.0,0.0,0.0,1.0,0.0005866862002576487,0.6949166553510058,0.5045,"(0.0, 0.0)"
0.0,0.0,0.2,1.0,0.01828292356813834,0.6923452895028023,0.5495,"(0.0, 0.0)"
0.0,0.0,0.2,1.0,0.03769566491553325,0.6777504892688411,0.542,"(0.0, 0.0)"
