;Weight on bit (kg);Drill rate (m/s);Vertical depth of operation (m);Mud density (kg/m3);Hole diameter (m);Nonlinear1;Nonlinear2;Nonlinear3;Temperature (C);Bit depth (m);Failure likelihood (%)
0;239.3025485444779;0.660992867702168;886.1567839661006;2.949484048271528;0.5;-0.030588540970956757;0.8229861227712518;0.9175573821977352;21.582837097012966;902.4358956682133;23.084671737626515
1;212.76775548717399;0.6473972795360069;567.530484591275;3.338703173943921;4.617729400260388;0.0903375738252381;0.7412619732153093;0.8311363707470687;27.13311113570899;551.2977851076796;16.01049900654941
2;256.8287372658913;0.4417494361366876;1125.9059091038316;2.5035586740839304;6.177708113437623;-0.9153456418698702;0.14936988445755384;0.5372703711975136;10.448471384212164;1144.4453480605266;18.217468354855583
3;230.3886886067816;0.45726298517828917;1297.3422163191394;2.1371236129522577;6.089012432226005;-0.8856605785738487;0.1317851347231742;0.9417529077508497;18.143883739824975;1309.7526889644128;20.3775124513237
4;264.5160130148609;0.49823199773510435;731.8453996244664;2.5318888108384248;5.303489489043945;0.2750523438303545;0.44709481926282524;0.7501446816244409;13.733294232917675;739.5914961406718;21.080085397191063
5;226.48858502891184;0.5973407746800125;558.53922760138;1.1877085862780168;6.745168204156121;-0.6923685708958554;0.3126783156200825;0.9578289933286762;26.030989800215718;554.2495875461562;19.833863521509237
6;253.7491473218477;0.7207007951515658;370.08628905738846;2.3758156735638867;4.230760644229979;0.9918352334787479;0.6583646810748942;0.2740098836707351;22.90229672173244;377.00633173489985;23.338254110939786
7;276.25098128012286;0.6498924339332153;1332.8297419231048;3.0196607408693437;3.4013141154234763;-0.5673451477100342;0.49163715575113276;0.039446487761106486;11.334441039017197;1348.43225043137;30.34836237520515
8;223.61495166043517;0.39656403590777267;1424.5562055245427;2.536308883136459;6.1844937624393035;-0.3324695410728611;0.2966759978370471;0.4111221846900862;14.391311765994221;1441.6756841542597;20.630801051698764
9;285.0025533402737;0.6403022969678313;876.0445051755781;2.67772271673668;1.0308881376359338;-0.7120433371640145;0.7123921187591403;0.24663701457121567;15.930072213338645;874.3743401607109;27.57211092483206
10;174.17794854847642;0.5015802712948032;946.939196208444;2.423266964889717;9.463280194358031;0.14858374306824906;0.4911402869029461;0.13667119132501226;17.904131795449878;949.3787694619239;15.736748541566813
11;291.50889168058853;0.6331653625002572;927.4821270920397;2.282294703404136;5.348009251397723;-0.08643234372680442;0.17865318241465666;0.7401595489353712;16.384184264767068;935.7071409550479;30.957340173766255
